TeamNumber,TeamName,TeamShortName,ImageFileName,TeamColor
1,CAN,CAN,CAN.png,391755ff
2,POL,POL,POL.png,00ffffff
3,FIN,FIN,FIN.png,bb6600ff
4,DEN,DEN,DEN.png,ffd800ff
5,BRA,BRA,BRA.png,60642fff
6,GER,GER,GER.png,26420fff
7,FRA,FRA,FRA.png,7dcf2fff
8,UK,UK,UK.png,09372cff
9,SWE,SWE,SWE.png,1f73b9ff
10,NOR,NOR,NOR.png,001f70ff
11,SPA,SPA,SPA.png,a200ffff
12,Austria,AU,AU.png,971440ff
13,TR,TR,TR.png,ff0000ff
14,USA,USA,USA.png,ffffffff
15,POR,POR,POR.png,6f6f6fff
16,ARG,ARG,ARG.png,3f0000ff
17,KOR,KOR,KOR.png,4cb69cff
18,JP,JP,JP.png,2f9761ff
19,AUS,AUS,AUS.png,4ca9b6ff
20,CN,CN,CN.png,860055ff
21,Croatia,CRO,Cro.png,860055ff
22,Greece,GR,GR.png,860055ff
23,Ukraine,UA,UA.png,860055ff